IC                         t   vmax   umax  m_glo   m_in  m_out       R      R2  np
------------------------------------------------------------------------------------------
sech2_A1.5_m0           0.00  1.498  1.122  0.000  0.000  0.000   1.000   1.000   1
sech2_A1.5_m0           0.25  1.089  1.198  1.122  0.753  0.831   0.783   0.206   9
sech2_A1.5_m0           0.50  0.893  1.816  1.565  0.896  1.284   0.460   0.077  13
sech2_A1.5_m0           1.00  0.772  4.435  2.443  1.093  2.185  -0.621  -0.152  11
sech2_A1.5_m0           1.50  0.806  4.293  2.530  2.101  1.409  -0.433  -0.013   9
sech2_A1.5_m0           2.00  0.725  4.114  2.911  1.271  2.619  -1.704  -0.394  11
sech2_A1.5_m0           3.00  0.829  5.334  3.543  1.705  3.106  -0.876  -0.011  10
sech2_A1.5_m0           5.00  0.817  6.734  4.776  2.285  4.194  -1.721  -0.082  10
sech2_A1.5_m0           7.00  0.797  7.432  5.658  2.475  5.088  -2.619   0.123  11
sech2_A1.5_m0          10.00  0.834  8.906  8.149  3.245  7.475  -2.265  -0.213  11

gauss_A1.5_m0           0.00  1.499  1.124  0.000  0.000  0.000   1.000   1.000   1
gauss_A1.5_m0           0.25  1.362  0.922  0.762  0.496  0.579   0.984   0.642   4
gauss_A1.5_m0           0.50  1.169  2.350  1.693  1.022  1.349   0.873   0.350   7
gauss_A1.5_m0           1.00  0.952  5.529  3.314  2.900  1.604   0.381   0.005  11
gauss_A1.5_m0           1.50  0.969  6.153  4.253  1.745  3.878  -0.792  -0.213  10
gauss_A1.5_m0           2.00  1.048  6.577  5.013  3.927  3.116  -0.382   0.005   9
gauss_A1.5_m0           3.00  0.982  7.700  6.100  3.847  4.734  -0.679   0.005  11
gauss_A1.5_m0           5.00  0.844 10.542 10.664  7.522  7.559  -1.232   0.010  12
gauss_A1.5_m0           7.00  2.021 22.825 16.179  6.104 14.983  -0.977  -0.071  17
gauss_A1.5_m0          10.00  5.413 21.981 29.990 17.029 24.686  -0.261  -0.294  34

sech2_A1.5_u0zero       0.00  1.498  0.000  1.076  1.074  0.061   0.000     nan   1
sech2_A1.5_u0zero       0.25  1.020  1.021  1.140  0.863  0.745   0.264  -0.009   9
sech2_A1.5_u0zero       0.50  0.840  1.534  1.541  1.010  1.163   0.129  -0.196  12
sech2_A1.5_u0zero       1.00  0.713  3.125  2.174  1.188  1.821  -0.761  -0.360  11
sech2_A1.5_u0zero       1.50  0.734  4.013  2.413  1.994  1.360  -1.135  -0.028   9
sech2_A1.5_u0zero       2.00  0.662  3.903  2.641  2.175  1.499  -1.529  -0.021  10
sech2_A1.5_u0zero       3.00  0.687  6.362  3.740  3.017  2.210  -1.481   0.016  10
sech2_A1.5_u0zero       5.00  0.718  3.514  3.776  1.708  3.368  -2.760  -0.347  10
sech2_A1.5_u0zero       7.00  0.906  5.254  4.665  2.557  3.902  -1.479  -0.050   9
sech2_A1.5_u0zero      10.00  0.818  5.680  6.852  3.157  6.082  -3.298   0.011  11

sech2_A0.4_m0           0.00  0.399  0.080  0.000  0.000  0.000   1.000   1.000   1
sech2_A0.4_m0           0.25  0.318  0.139  0.195  0.137  0.138   0.647   0.020   5
sech2_A0.4_m0           0.50  0.279  0.183  0.257  0.162  0.199   0.303   0.008  10
sech2_A0.4_m0           1.00  0.245  0.231  0.319  0.171  0.270  -0.239  -0.078   9
sech2_A0.4_m0           1.50  0.220  0.262  0.360  0.178  0.313  -0.775  -0.170   9
sech2_A0.4_m0           2.00  0.206  0.282  0.384  0.192  0.333  -1.368  -0.445   8
sech2_A0.4_m0           3.00  0.203  0.205  0.400  0.259  0.305  -4.464  -0.196   6
sech2_A0.4_m0           5.00  0.154  0.375  0.496  0.275  0.413  -6.544  -0.620   9
sech2_A0.4_m0           7.00  0.219  0.359  0.522  0.275  0.444  -6.732  -0.344   7
sech2_A0.4_m0          10.00  0.219  0.318  0.457  0.222  0.399  -4.193  -1.418   8

bimodal_m0              0.00  1.199  0.719  0.000  0.000  0.000   1.000   1.000   2
bimodal_m0              0.25  0.900  0.599  0.824  0.599  0.566   0.699   0.092   7
bimodal_m0              0.50  0.893  0.657  0.861  0.480  0.714   0.536   0.192  10
bimodal_m0              1.00  0.675  2.096  1.523  0.789  1.303   0.111  -0.036  12
bimodal_m0              1.50  0.747  4.716  2.405  0.956  2.206  -0.030  -0.044  10
bimodal_m0              2.00  0.607  3.688  2.475  2.059  1.373  -0.097  -0.004  10
bimodal_m0              3.00  0.722  4.617  2.387  0.928  2.199  -0.529  -0.048  10
bimodal_m0              5.00  0.625  5.284  3.746  1.486  3.439  -0.785   0.017  10
bimodal_m0              7.00  0.701  4.385  4.494  2.347  3.833  -0.026  -0.028   9
bimodal_m0             10.00  0.786  5.488  5.785  3.137  4.861  -1.984   0.026   9

bore_plus_v             0.00  1.198  1.000  3.359  0.988  3.210   1.944 -247955.432   1
bore_plus_v             0.25  0.831  1.468  3.362  1.540  2.988   4.013   0.533   8
bore_plus_v             0.50  0.659  1.750  3.507  1.843  2.984   5.205   0.492  12
bore_plus_v             1.00  0.581  1.376  3.515  1.929  2.939   4.044   0.063  11
bore_plus_v             1.50  0.615  1.484  3.492  1.809  2.987   2.929  -0.140  10
bore_plus_v             2.00  0.592  1.636  3.532  1.727  3.081   2.715  -0.189   9
bore_plus_v             3.00  0.583  2.187  3.682  1.345  3.428   2.976   0.046   9
bore_plus_v             5.00  0.739  2.020  3.610  1.712  3.179   1.427  -0.395   9
bore_plus_v             7.00  0.598  2.572  3.614  1.108  3.439   0.759  -0.148   8
bore_plus_v            10.00  0.461  1.992  4.017  2.000  3.484   3.452  -0.015   7

