# E2 summary: amplitude sweep + Nx=512 convergence
==============================================================================================================
IC                     t    vmax    umax  m_glob   m_in   m_out       R      R2  np  x_peak
--------------------------------------------------------------------------------------------------------------
A0.4                0.00   0.399   0.080   0.000  0.000   0.000   1.000   1.000   1  -5.039
A0.4                0.03   0.391   0.095   0.041  0.039   0.013   0.978   0.488   1  -4.805
A0.4                0.05   0.378   0.108   0.074  0.067   0.030   0.940   0.266   2  -4.688
A0.4                0.07   0.367   0.114   0.099  0.087   0.048   0.901   0.163   2  -4.570
A0.4                0.10   0.358   0.119   0.119  0.101   0.064   0.862   0.110   3  -4.453
A0.4                0.15   0.342   0.124   0.151  0.120   0.093   0.783   0.060   4  -4.219
A0.4                0.20   0.329   0.125   0.176  0.129   0.119   0.717   0.025   5  -4.102
A0.4                0.30   0.308   0.151   0.211  0.140   0.157   0.592   0.008   6  -3.867
A0.4                0.50   0.279   0.183   0.257  0.162   0.199   0.303   0.008  10  -3.516
A0.4                0.75   0.244   0.210   0.294  0.171   0.239  -0.032  -0.032   9  -3.164
A0.4                1.00   0.245   0.231   0.319  0.171   0.270  -0.239  -0.078   9  -2.695
A0.4                1.50   0.220   0.262   0.360  0.178   0.313  -0.775  -0.170   9  -2.578
A0.4                2.00   0.206   0.282   0.384  0.192   0.333  -1.368  -0.445   8  -1.758
A0.4                2.50   0.213   0.276   0.414  0.220   0.351  -2.436  -0.518   7  -2.227
A0.4                3.00   0.203   0.205   0.400  0.259   0.305  -4.464  -0.196   6  -0.352
A0.4                3.50   0.209   0.326   0.448  0.209   0.397  -3.028  -1.051   6  -1.875
A0.4                4.00   0.190   0.198   0.399  0.243   0.317  -4.599  -0.228   6   0.234
A0.4                4.50   0.186   0.238   0.459  0.264   0.375  -5.950  -0.132   8  -2.344
A0.4                5.00   0.154   0.375   0.496  0.275   0.413  -6.544  -0.620   9  -2.109
--------------------------------------------------------------------------------------------------------------
A0.6                0.00   0.599   0.179   0.000  0.000   0.000   1.000   1.000   1  -5.039
