=== R1_sech2_nu0.npz ===
     t   vmax  m_glob   m_in   m_out   r_loc      R  R_glob
 0.000  1.498   0.000  0.000   0.000     nan  1.000   1.000
 0.010  1.487   0.147  0.145   0.024   0.987  0.994   0.994
 0.025  1.455   0.325  0.315   0.081   0.969  0.971   0.971
 0.050  1.402   0.521  0.485   0.189   0.932  0.931   0.930
 0.075  1.355   0.644  0.569   0.301   0.884  0.901   0.904
 0.100  1.312   0.734  0.610   0.408   0.831  0.879   0.894
 0.125  1.268   0.810  0.631   0.508   0.779  0.866   0.896
 0.150  1.228   0.879  0.674   0.565   0.767  0.848   0.908
 0.200  1.151   1.006  0.719   0.704   0.715  0.817   0.948
 0.250  1.089   1.122  0.753   0.831   0.672  0.783   0.997
 0.300  1.032   1.226  0.806   0.924   0.658  0.727   1.048
 0.400  0.941   1.411  0.874   1.108   0.619  0.591   1.150
 0.500  0.893   1.565  0.896   1.284   0.572  0.460   1.248
 0.625  0.783   1.745  0.969   1.451   0.555  0.163   1.169
 0.750  0.768   1.919  0.991   1.644   0.516 -0.064   1.136
 0.875  0.712   2.136  1.058   1.856   0.495 -0.380   0.853
 1.000  0.772   2.443  1.093   2.185   0.447 -0.621   0.646
 1.250  0.726   2.574  1.397   2.162   0.543 -0.982   0.086
 1.500  0.806   2.530  2.101   1.409   0.831 -0.433   0.619
 1.750  0.715   2.927  1.225   2.659   0.418 -1.339   1.212
 2.000  0.725   2.911  1.271   2.619   0.437 -1.704   0.118
=== R2_sech2_nu0.05.npz ===
     t   vmax  m_glob   m_in   m_out   r_loc      R  R_glob
 0.000  1.498   0.000  0.000   0.000     nan  1.000   1.000
 0.010  1.487   0.146  0.144   0.024   0.987  0.993   0.993
 0.025  1.455   0.322  0.312   0.081   0.968  0.969   0.970
 0.050  1.402   0.513  0.478   0.188   0.931  0.930   0.929
 0.075  1.354   0.633  0.558   0.299   0.881  0.900   0.904
 0.100  1.310   0.721  0.596   0.405   0.827  0.880   0.894
 0.125  1.266   0.795  0.615   0.504   0.773  0.868   0.898
 0.150  1.226   0.863  0.656   0.560   0.761  0.852   0.911
 0.200  1.149   0.988  0.700   0.697   0.709  0.824   0.952
 0.250  1.087   1.102  0.733   0.822   0.666  0.792   1.002
 0.300  1.030   1.204  0.786   0.913   0.652  0.739   1.053
 0.400  0.939   1.381  0.850   1.089   0.616  0.612   1.155
 0.500  0.890   1.524  0.871   1.251   0.571  0.487   1.247
 0.625  0.779   1.674  0.940   1.385   0.562  0.203   1.173
 0.750  0.768   1.787  0.961   1.507   0.538 -0.020   1.160
 0.875  0.712   1.873  1.021   1.571   0.545 -0.323   0.937
 1.000  0.768   1.990  1.043   1.695   0.524 -0.535   0.884
 1.250  0.723   2.019  1.074   1.709   0.532 -0.903   0.394
 1.500  0.804   2.184  1.045   1.918   0.478 -1.039   0.278
 1.750  0.707   2.196  1.053   1.928   0.479 -1.151   1.112
 2.000  0.747   2.126  1.065   1.840   0.501 -1.330   0.271
=== R3_gardner_nu0.npz ===
     t   vmax  m_glob   m_in   m_out   r_loc      R  R_glob
 0.000  1.496   0.000  0.000   0.000     nan  1.000   1.000
 0.010  1.455   0.279  0.273   0.058   0.978  0.979   0.980
 0.025  1.388   0.524  0.500   0.158   0.953  0.931   0.931
 0.050  1.300   0.729  0.660   0.310   0.905  0.863   0.871
 0.075  1.234   0.839  0.715   0.439   0.852  0.816   0.844
 0.100  1.172   0.914  0.758   0.511   0.829  0.773   0.841
 0.125  1.124   0.973  0.791   0.566   0.813  0.731   0.852
 0.150  1.074   1.024  0.789   0.653   0.770  0.706   0.872
 0.200  1.004   1.110  0.821   0.747   0.739  0.634   0.926
 0.250  0.934   1.184  0.832   0.843   0.703  0.557   0.988
 0.300  0.897   1.245  0.829   0.929   0.666  0.496   1.056
 0.400  0.774   1.364  0.868   1.053   0.636  0.276   1.151
 0.500  0.782   1.453  0.852   1.177   0.586  0.131   1.323
 0.625  0.723   1.536  0.932   1.222   0.606 -0.295   1.036
 0.750  0.740   1.632  0.893   1.366   0.547 -0.400   1.328
 0.875  0.679   1.698  0.962   1.399   0.567 -0.741   1.102
 1.000  0.660   1.809  1.041   1.480   0.575 -1.219   0.184
 1.250  0.674   2.017  0.977   1.765   0.484 -1.361   0.411
 1.500  0.677   2.243  1.073   1.969   0.478 -1.841  -0.659
 1.750  0.611   2.183  1.794   1.243   0.822 -1.129   1.217
 2.000  0.612   2.204  1.771   1.312   0.804 -1.560   1.415
