E1: 5x5 coarse sweep, T=12.0, dt=0.0001, nu_visc=0.05
Total runs: 25
  (0,0) uL=0.20 A=0.20  L2_v: init=0.730, final=0.353; max_v_T=0.145; n_peaks=1; x_peak=1.64; bore_step=0.342; high_v=0.0000; t=18.6s blew_up=False
  (0,1) uL=0.20 A=0.50  L2_v: init=1.155, final=0.495; max_v_T=0.175; n_peaks=3; x_peak=6.56; bore_step=0.707; high_v=0.0000; t=20.2s blew_up=False
  (0,2) uL=0.20 A=1.00  L2_v: init=1.633, final=0.611; max_v_T=0.281; n_peaks=4; x_peak=13.12; bore_step=0.925; high_v=0.0000; t=20.7s blew_up=False
  (0,3) uL=0.20 A=1.50  L2_v: init=2.000, final=0.723; max_v_T=0.232; n_peaks=5; x_peak=-11.25; bore_step=0.991; high_v=0.0000; t=19.5s blew_up=False
  (0,4) uL=0.20 A=2.00  L2_v: init=2.309, final=0.848; max_v_T=0.364; n_peaks=5; x_peak=-10.08; bore_step=0.870; high_v=0.0001; t=21.7s blew_up=False
  (1,0) uL=0.40 A=0.20  L2_v: init=0.730, final=0.367; max_v_T=0.149; n_peaks=1; x_peak=2.93; bore_step=0.497; high_v=0.0000; t=24.1s blew_up=False
  (1,1) uL=0.40 A=0.50  L2_v: init=1.155, final=0.510; max_v_T=0.193; n_peaks=2; x_peak=7.62; bore_step=0.672; high_v=0.0000; t=23.0s blew_up=False
  (1,2) uL=0.40 A=1.00  L2_v: init=1.633, final=0.664; max_v_T=0.251; n_peaks=4; x_peak=14.18; bore_step=0.802; high_v=0.0000; t=22.1s blew_up=False
  (1,3) uL=0.40 A=1.50  L2_v: init=2.000, final=0.762; max_v_T=0.302; n_peaks=4; x_peak=-14.06; bore_step=0.966; high_v=0.0000; t=23.0s blew_up=False
  (1,4) uL=0.40 A=2.00  L2_v: init=2.309, final=0.860; max_v_T=0.309; n_peaks=6; x_peak=-14.18; bore_step=0.894; high_v=0.0001; t=23.1s blew_up=False
  (2,0) uL=0.60 A=0.20  L2_v: init=0.730, final=0.379; max_v_T=0.168; n_peaks=1; x_peak=5.16; bore_step=0.595; high_v=0.0000; t=21.5s blew_up=False
  (2,1) uL=0.60 A=0.50  L2_v: init=1.155, final=0.551; max_v_T=0.204; n_peaks=2; x_peak=8.91; bore_step=0.673; high_v=0.0000; t=22.1s blew_up=False
  (2,2) uL=0.60 A=1.00  L2_v: init=1.633, final=0.728; max_v_T=0.229; n_peaks=3; x_peak=2.70; bore_step=0.708; high_v=0.0000; t=21.7s blew_up=False
  (2,3) uL=0.60 A=1.50  L2_v: init=2.000, final=0.847; max_v_T=0.280; n_peaks=4; x_peak=-13.48; bore_step=0.829; high_v=0.0000; t=23.3s blew_up=False
  (2,4) uL=0.60 A=2.00  L2_v: init=2.309, final=0.963; max_v_T=0.357; n_peaks=5; x_peak=-12.66; bore_step=0.899; high_v=0.0001; t=23.4s blew_up=False
  (3,0) uL=0.80 A=0.20  L2_v: init=0.730, final=0.366; max_v_T=0.158; n_peaks=1; x_peak=7.38; bore_step=0.649; high_v=0.0000; t=22.5s blew_up=False
  (3,1) uL=0.80 A=0.50  L2_v: init=1.155, final=0.608; max_v_T=0.255; n_peaks=1; x_peak=10.31; bore_step=0.675; high_v=0.0000; t=23.9s blew_up=False
  (3,2) uL=0.80 A=1.00  L2_v: init=1.633, final=0.785; max_v_T=0.281; n_peaks=3; x_peak=6.91; bore_step=0.705; high_v=0.0000; t=22.5s blew_up=False
  (3,3) uL=0.80 A=1.50  L2_v: init=2.000, final=0.925; max_v_T=0.297; n_peaks=4; x_peak=6.33; bore_step=0.888; high_v=0.0000; t=22.3s blew_up=False
  (3,4) uL=0.80 A=2.00  L2_v: init=2.309, final=1.057; max_v_T=0.366; n_peaks=5; x_peak=-11.48; bore_step=0.953; high_v=0.0000; t=22.8s blew_up=False
  (4,0) uL=1.00 A=0.20  L2_v: init=0.730, final=0.353; max_v_T=0.149; n_peaks=1; x_peak=9.02; bore_step=0.706; high_v=0.0000; t=22.2s blew_up=False
  (4,1) uL=1.00 A=0.50  L2_v: init=1.155, final=0.626; max_v_T=0.286; n_peaks=1; x_peak=12.89; bore_step=0.690; high_v=0.0000; t=20.5s blew_up=False
  (4,2) uL=1.00 A=1.00  L2_v: init=1.633, final=0.824; max_v_T=0.339; n_peaks=1; x_peak=13.95; bore_step=0.753; high_v=0.0000; t=19.5s blew_up=False
  (4,3) uL=1.00 A=1.50  L2_v: init=2.000, final=0.982; max_v_T=0.370; n_peaks=4; x_peak=14.77; bore_step=0.936; high_v=0.0000; t=19.6s blew_up=False
  (4,4) uL=1.00 A=2.00  L2_v: init=2.309, final=1.145; max_v_T=0.363; n_peaks=5; x_peak=-14.88; bore_step=0.925; high_v=0.0000; t=21.1s blew_up=False

Total wall: 544.9s
Saved evidence/E1_summary.json
